"Group","Practice","Guidance","Reference","Done","Notes"
"Monitoring data security with managed AWS security services","Server-side encryption with Amazon S3 managed keys (SSE-S3)","All Amazon S3 buckets have encryption configured by default. The default option for server-side encryption is with Amazon S3 managed keys (SSE-S3). Each object is encrypted with a unique key. As an additional safeguard, SSE-S3 encrypts the key itself with a root key that it regularly rotates. SSE-S3 uses one of the strongest block ciphers available, 256-bit Advanced Encryption Standard (AES-256), to encrypt your data.","Using server-side encryption with Amazon S3 managed keys (SSE-S3)","",""
"Monitoring data security with managed AWS security services","Server-side encryption with AWS Key Management Service (AWS KMS) keys (SSE-KMS)","Server-side encryption with AWS KMS keys (SSE-KMS) is provided through an integration of the AWS KMS service with Amazon S3. With AWS KMS, you have more control over your keys. For example, you can view separate keys, edit control policies, and follow the keys in AWS CloudTrail. Additionally, you can create and manage customer managed keys or use AWS managed keys that are unique to you, your service, and your Region. Dual-layer server-side encryption with AWS Key Management Service (AWS KMS) keys (DSSE- KMS) Dual-layer server-side encryption with AWS KMS keys (DSSE-KMS) is similar to SSE-KMS, but DSSE- KMS applies two independent layers of AES-256 encryption instead of one layer: first using a AWS KMS data encryption key, then using a separate Amazon S3-managed encryption key. Because both layers of encryption are applied to an object on the server side, you can use a wide range of AWS services and tools to analyze data in S3 while using an encryption method that can satisfy compliance requirements for multilayer encryption. For more information, see Using dual-layer server-side encryption with AWS KMS keys (DSSE-KMS).","Using server-side encryption with AWS KMS keys (SSE-KMS)","",""
"Monitoring data security with managed AWS security services","Server-side encryption with customer-provided keys (SSE-C)","With server-side encryption with customer-provided keys (SSE-C), you manage the encryption keys, and Amazon S3 manages the encryption as it writes to disks and the decryption when you access your objects.","Using server-side encryption with customer-provided keys (SSE-C)","",""
"Monitoring data security with managed AWS security services","Note","Objects encrypted with SSE-C do not support annotations. Attempting to add an annotation to an SSE-C encrypted object returns an error. For all other encryption types, annotations inherit the encryption configuration of the parent object. S3 Bucket Keys are supported for annotations on SSE-KMS encrypted objects. Note When using access points for Amazon FSx file systems using S3 access points you have one option for server-side encryption.","","",""
"Monitoring data security with managed AWS security services","Server-side encryption with Amazon FSx (SSE-FSX)","All Amazon FSx file systems have encryption configured by default and are encrypted at rest with keys managed using AWS Key Management Service. Data is automatically encrypted and decrypted by on the file system as data is being written to and read from the file system. These processes are handled transparently by Amazon FSx.","","",""
"Monitoring data security with managed AWS security services","Setting default server-side encryption behavior for Amazon S3 buckets","Important Amazon S3 now applies server-side encryption with Amazon S3 managed keys (SSE-S3) as the base level of encryption for every bucket in Amazon S3. Starting January 5, 2023, all new object uploads to Amazon S3 are automatically encrypted at no additional cost and with no impact on performance. The automatic encryption status for S3 bucket default encryption configuration and for new object uploads is available in CloudTrail logs, S3 Inventory, S3 Storage Lens, the Amazon S3 console, and as an additional Amazon S3 API response header in the AWS CLI and AWS SDKs. All Amazon S3 buckets have encryption configured by default, and objects are automatically encrypted by using server-side encryption with Amazon S3 managed keys (SSE-S3). This encryption setting applies to all objects in your Amazon S3 buckets. If you need more control over your keys, such as managing key rotation and access policy grants, you can choose to use server-side encryption with AWS Key Management Service (AWS KMS) keys (SSE-KMS), or dual-layer server-side encryption with AWS KMS keys (DSSE-KMS). For more information about editing KMS keys, see Editing keys in AWS Key Management Service Developer Guide.","Default encryption FAQ","",""
"Monitoring data security with managed AWS security services","Note","We've changed buckets to encrypt new object uploads automatically. If you previously created a bucket without default encryption, Amazon S3 will enable encryption by default for the bucket using SSE-S3. There will be no changes to the default encryption configuration for an existing bucket that already has SSE-S3 or SSE-KMS configured. If you want to encrypt your objects with SSE-KMS, you must change the encryption type in your bucket settings. When you configure your bucket to use default encryption with SSE-KMS, you can also enable S3 Bucket Keys to decrease request traffic from Amazon S3 to AWS KMS and reduce the cost of encryption. For more information, see Reducing the cost of SSE-KMS with Amazon S3 Bucket Keys. To identify buckets that have SSE-KMS enabled for default encryption, you can use Amazon S3 Storage Lens metrics. S3 Storage Lens is a cloud-storage analytics feature that you can use to gain organization-wide visibility into object-storage usage and activity. For more information, see Using S3 Storage Lens to protect your data. When you use server-side encryption, Amazon S3 encrypts an object before saving it to disk and decrypts it when you download the object. For more information about protecting data using server-side encryption and encryption-key management, see Protecting data with server-side encryption. For more information about the permissions required for default encryption, see PutBucketEncryption in the Amazon Simple Storage Service API Reference. You can configure the Amazon S3 default encryption behavior for an S3 bucket by using the Amazon S3 console, the AWS SDKs, the Amazon S3 REST API, and the AWS Command Line Interface (AWS CLI).","Using server-side encryption with AWS KMS keys (SSE-KMS)","",""
"Monitoring data security with managed AWS security services","Encrypting existing objects","To encrypt your existing unencrypted Amazon S3 objects, you can use Amazon S3 Batch Operations. You provide S3 Batch Operations with a list of objects to operate on, and Batch Operations calls the respective API to perform the specified operation. You can use the Batch Operations Copy operation to copy existing unencrypted objects and write them back to the same bucket as encrypted objects. A single Batch Operations job can perform the specified operation on billions of objects. You can also encrypt existing objects by using the CopyObject API operation or the copy-object AWS CLI command. For more information, see the AWS Storage Blog post Encrypting existing Amazon S3 objects with the AWS CLI.","Performing object operations in bulk with Batch Operations and the AWS Storage Blog post Encrypting objects with Amazon S3 Batch Operations","",""
"Monitoring data security with managed AWS security services","Important","If your bucket is a target destination for server access log delivery, the bucket must use Amazon S3 managed keys (SSE-S3). If the destination bucket uses SSE-KMS default encryption, log objects might be created but encrypted with a key that you can't access.","","",""
"Monitoring data security with managed AWS security services","Using SSE-KMS encryption for cross-account operations","When using encryption for cross-account operations, be aware of the following: If an AWS KMS key Amazon Resource Name (ARN) or alias is not provided at request time or through the bucket's default encryption configuration, the AWS managed key (aws/s3) is used. If you're uploading or accessing S3 objects by using AWS Identity and Access Management (IAM) principals that are in the same AWS account as your KMS key, you can use the AWS managed key (aws/s3). If you want to grant cross-account access to your S3 objects, use a customer managed key. You can configure the policy of a customer managed key to allow access from another account. If you're specifying a customer managed KMS key, we recommend using a fully qualified KMS key ARN. If you use a KMS key alias instead, AWS KMS resolves the key within the requester's account. This behavior can result in data that's encrypted with a KMS key that belongs to the requester, and not the bucket owner. You must specify a key that you (the requester) have been granted Encrypt permission to. For more information about when to use customer managed keys and AWS managed KMS keys, see Should I use an AWS managed key or a customer managed key to encrypt my objects in Amazon S3?","Allow key users to use a KMS key for cryptographic operations in the AWS Key Management Service Developer Guide","",""
"Monitoring data security with managed AWS security services","Using default encryption with replication","When you enable default encryption for a replication destination bucket, the following encryption behavior applies: If objects in the source bucket are not encrypted, the replica objects in the destination bucket are encrypted by using the default encryption settings of the destination bucket. As a result, the entity tags (ETags) of the source objects differ from the ETags of the replica objects. If you have applications that use ETags, you must update those applications to account for this difference. If objects in the source bucket are encrypted by using server-side encryption with Amazon S3 managed keys (SSE-S3), server-side encryption with AWS Key Management Service (AWS KMS) keys (SSE-KMS), or dual-layer server-side encryption with AWS KMS keys (DSSE-KMS), the replica objects in the destination bucket use the same type of encryption as the source objects. The default encryption settings of the destination bucket are not used.","Replicating encrypted objects","",""
"Monitoring data security with managed AWS security services","Using Amazon S3 Bucket Keys with default encryption","When you configure your bucket to use SSE-KMS as the default encryption behavior for new objects, you can also configure S3 Bucket Keys. S3 Bucket Keys decrease the number of transactions from Amazon S3 to AWS KMS to reduce the cost of SSE-KMS. When you configure your bucket to use S3 Bucket Keys for SSE-KMS on new objects, AWS KMS generates a bucket-level key that is used to create a unique data key for objects in the bucket. This S3 Bucket Key is used for a time-limited period within Amazon S3, reducing the need for Amazon S3 to make requests to AWS KMS to complete encryption operations.","Using Amazon S3 Bucket Keys","",""
"Monitoring data security with managed AWS security services","Configuring default encryption","","","",""
"Monitoring data security with managed AWS security services","Important","Amazon S3 now applies server-side encryption with Amazon S3 managed keys (SSE-S3) as the base level of encryption for every bucket in Amazon S3. Starting January 5, 2023, all new object uploads to Amazon S3 are automatically encrypted at no additional cost and with no impact on performance. The automatic encryption status for S3 bucket default encryption configuration and for new object uploads is available in CloudTrail logs, S3 Inventory, S3 Storage Lens, the Amazon S3 console, and as an additional Amazon S3 API response header in the AWS CLI and AWS SDKs. Amazon S3 buckets have bucket encryption enabled by default, and new objects are automatically encrypted by using server-side encryption with Amazon S3 managed keys (SSE-S3). This encryption applies to all new objects in your Amazon S3 buckets, and comes at no cost to you. If you need more control over your encryption keys, such as managing key rotation and access policy grants, you can elect to use server-side encryption with AWS Key Management Service (AWS KMS) keys (SSE-KMS), or dual-layer server-side encryption with AWS KMS keys (DSSE-KMS). For more information about SSE-KMS, see Specifying server-side encryption with AWS KMS (SSE-KMS). For more information about DSSE-KMS, see the section called ""Dual-layer server-side encryption (DSSE-KMS)"". If you want to use a KMS key that is owned by a different account, you must have permission to use the key. For more information about cross-account permissions for KMS keys, see Creating KMS keys that other accounts can use in the AWS Key Management Service Developer Guide. When you set default bucket encryption to SSE-KMS, you can also configure an S3 Bucket Key to reduce your AWS KMS request costs. For more information, see Reducing the cost of SSE-KMS with Amazon S3 Bucket Keys. Note If you use PutBucketEncryption to set your default bucket encryption to SSE-KMS, you should verify that your KMS key ID is correct. Amazon S3 does not validate the KMS key ID provided in PutBucketEncryption requests. There are no additional charges for using default encryption for S3 buckets. Requests to configure the default encryption behavior incur standard Amazon S3 request charges. For information about pricing, see Amazon S3 pricing. For SSE-KMS and DSSE-KMS, AWS KMS charges apply and are listed at AWS KMS pricing. Server-side encryption with customer-provided keys (SSE-C) is not supported for default encryption. You can configure Amazon S3 default encryption for an S3 bucket by using the Amazon S3 console, the AWS SDKs, the Amazon S3 REST API, and the AWS Command Line Interface (AWS CLI).","Default encryption FAQ","",""
"Monitoring data security with managed AWS security services","Changes to note before enabling default encryption","After you enable default encryption for a bucket, the following encryption behavior applies: There is no change to the encryption of the objects that existed in the bucket before default encryption was enabled. When you upload objects after enabling default encryption: If your PUT request headers don't include encryption information, Amazon S3 uses the bucket's default encryption settings to encrypt the objects. If your PUT request headers include encryption information, Amazon S3 uses the encryption information from the PUT request to encrypt objects before storing them in Amazon S3. If you use the SSE-KMS or DSSE-KMS option for your default encryption configuration, you are subject to the requests per second (RPS) quotas of AWS KMS. If this bucket is used as a destination for server access logging, the destination bucket must use Amazon S3 managed keys (SSE-S3). If the destination bucket uses SSE-KMS default encryption, Amazon S3 might deliver log objects that are encrypted with a key that you can't access. To resolve this, change the destination bucket's default encryption to SSE-S3. For more information about server access logging, see Logging requests with server access logging.","Quotas in the AWS Key Management Service Developer Guide","",""
"Monitoring data security with managed AWS security services","Note","Objects uploaded before default encryption was enabled will not be encrypted. For information about encrypting existing objects, see the section called ""Setting default bucket encryption"".","","",""
"Monitoring data security with managed AWS security services","Using the S3 console","","","",""
"Monitoring data security with managed AWS security services","To configure default encryption on an Amazon S3 bucket","1. Sign in to the AWS Management Console and open the Amazon S3 console at https:// console.aws.amazon.com/s3/. 2. In the left navigation pane, choose Buckets. 3. In the Buckets list, choose the name of the bucket that you want. 4. Choose the Properties tab. 5. Under Default encryption, choose Edit. 6. To configure encryption, under Encryption type, choose one of the following: Server-side encryption with Amazon S3 managed keys (SSE-S3) Server-side encryption with AWS Key Management Service keys (SSE-KMS) Dual-layer server-side encryption with AWS Key Management Service keys (DSSE-KMS)","","",""
"Monitoring data security with managed AWS security services","Important","If you use the SSE-KMS or DSSE-KMS options for your default encryption configuration, you are subject to the requests per second (RPS) quotas of AWS KMS. Buckets and new objects are encrypted by default with SSE-S3, unless you specify another type of default encryption for your buckets. For more information about default encryption, see Setting default server-side encryption behavior for Amazon S3 buckets. For more information about using Amazon S3 server-side encryption to encrypt your data, see Using server-side encryption with Amazon S3 managed keys (SSE-S3). 7. If you chose Server-side encryption with AWS Key Management Service keys (SSE-KMS) or Dual-layer server-side encryption with AWS Key Management Service keys (DSSE-KMS), do the following: a. Under AWS KMS key, specify your KMS key in one of the following ways: To choose from a list of available KMS keys, choose Choose from your AWS KMS keys, and choose your KMS key from the list of available keys. Both the AWS managed key (aws/s3) and your customer managed keys appear in this list. For more information about customer managed keys, see Customer keys and AWS keys in the AWS Key Management Service Developer Guide. To enter the KMS key ARN, choose Enter AWS KMS key ARN, and enter your KMS key ARN in the field that appears. To create a new customer managed key in the AWS KMS console, choose Create a KMS key. For more information about creating an AWS KMS key, see Creating keys in the AWS Key Management Service Developer Guide.","Quotas in the AWS Key Management Service Developer Guide","",""
"Monitoring data security with managed AWS security services","Important","You can only use KMS keys that are enabled in the same AWS Region as the bucket. When you choose Choose from your KMS keys, the S3 console only lists 100 KMS keys per Region. If you have more than 100 KMS keys in the same Region, you can only see the first 100 KMS keys in the S3 console. To use a KMS key that is not listed in the console, choose Enter AWS KMS key ARN, and enter the KMS key ARN. When you use an AWS KMS key for server-side encryption in Amazon S3, you must choose a symmetric encryption KMS key. Amazon S3 only supports symmetric encryption KMS keys. For more information about using SSE-KMS with Amazon S3, see Using server-side encryption with AWS KMS keys (SSE-KMS). For more information about using DSSE-KMS, see the section called ""Dual-layer server-side encryption (DSSE-KMS)"". b. When you configure your bucket to use default encryption with SSE-KMS, you can also enable an S3 Bucket Key. S3 Bucket Keys lower the cost of encryption by decreasing request traffic from Amazon S3 to AWS KMS. For more information, see Reducing the cost of SSE-KMS with Amazon S3 Bucket Keys. To use S3 Bucket Keys, under Bucket Key, choose Enable. Note S3 Bucket Keys aren't supported for DSSE-KMS. 8. Choose Save changes.","Symmetric encryption KMS keys in the AWS Key Management Service Developer Guide","",""
"Monitoring data security with managed AWS security services","Using the AWS CLI","These examples show you how to configure default encryption by using SSE-S3 or by using SSE- KMS with an S3 Bucket Key. For more information about using the AWS CLI to configure default encryption, see put-bucket-encryption.","Setting default server-side encryption behavior for Amazon S3 buckets","",""
"Monitoring data security with managed AWS security services","Example- Default encryption with SSE-S3","This example configures default bucket encryption with Amazon S3 managed keys. aws s3api put-bucket-encryption --bucket amzn-s3-demo-bucket --server-side-encryption- configuration '{ ""Rules"": [ { ""ApplyServerSideEncryptionByDefault"": { ""SSEAlgorithm"": ""AES256"" } } ] }'","","",""
"Monitoring data security with managed AWS security services","Example- Default encryption with SSE-KMS using an S3 Bucket Key","This example configures default bucket encryption with SSE-KMS using an S3 Bucket Key. aws s3api put-bucket-encryption --bucket amzn-s3-demo-bucket --server-side-encryption- configuration '{ ""Rules"": [ { ""ApplyServerSideEncryptionByDefault"": { ""SSEAlgorithm"": ""aws:kms"", ""KMSMasterKeyID"": ""KMS-Key-ARN"" }, ""BucketKeyEnabled"": true } ] }'","","",""
"Monitoring data security with managed AWS security services","Using the REST API","Use the REST API PutBucketEncryption operation to enable default encryption and to set the type of server-side encryption to use--SSE-S3, SSE-KMS, or DSSE-KMS.","PutBucketEncryption in the Amazon Simple Storage Service API Reference","",""
"Monitoring data security with managed AWS security services","Monitoring default encryption with AWS CloudTrail and Amazon EventBridge","","","",""
"Monitoring data security with managed AWS security services","Important","Amazon S3 now applies server-side encryption with Amazon S3 managed keys (SSE-S3) as the base level of encryption for every bucket in Amazon S3. Starting January 5, 2023, all new object uploads to Amazon S3 are automatically encrypted at no additional cost and with no impact on performance. The automatic encryption status for S3 bucket default encryption configuration and for new object uploads is available in CloudTrail logs, S3 Inventory, S3 Storage Lens, the Amazon S3 console, and as an additional Amazon S3 API response header in the AWS CLI and AWS SDKs. You can track default encryption configuration requests for Amazon S3 buckets by using AWS CloudTrail events. The following API event names are used in CloudTrail logs: PutBucketEncryption GetBucketEncryption DeleteBucketEncryption You can also create EventBridge rules to match the CloudTrail events for these API calls. For more information about CloudTrail events, see Enable logging for objects in a bucket using the console. For more information about EventBridge events, see Events from AWS services. You can use CloudTrail logs for object-level Amazon S3 actions to track PUT and POST requests to Amazon S3. You can use these actions to verify whether default encryption is being used to encrypt objects when incoming PUT requests don't have encryption headers. When Amazon S3 encrypts an object by using the default encryption settings, the log includes one of the following fields as the name-value pair: ""SSEApplied"":""Default_SSE_S3"", ""SSEApplied"":""Default_SSE_KMS"", or ""SSEApplied"":""Default_DSSE_KMS"". When Amazon S3 encrypts an object by using the PUT encryption headers, the log includes one of the following fields as the name-value pair: ""SSEApplied"":""SSE_S3"", ""SSEApplied"":""SSE_KMS"", ""SSEApplied"":""DSSE_KMS"", or ""SSEApplied"":""SSE_C"". For multipart uploads, this information is included in your InitiateMultipartUpload API operation requests. For more information about using CloudTrail and CloudWatch, see Logging and monitoring in Amazon S3.","Default encryption FAQ","",""
"Monitoring data security with managed AWS security services","Default encryption FAQ","Amazon S3 now applies server-side encryption with Amazon S3 managed keys (SSE-S3) as the base level of encryption for every bucket in Amazon S3. Starting January 5, 2023, all new object uploads to Amazon S3 are automatically encrypted at no additional cost and with no impact on performance. SSE-S3, which uses 256-bit Advanced Encryption Standard (AES-256), is automatically applied to all new buckets and to any existing S3 bucket that doesn't already have default encryption configured. The automatic encryption status for S3 bucket default encryption configuration and for new object uploads is available in AWS CloudTrail logs, S3 Inventory, S3 Storage Lens, the Amazon S3 console, and as an additional Amazon S3 API response header in the AWS Command Line Interface (AWS CLI) and the AWS SDKs. The following sections answer questions about this update. Does Amazon S3 change the default encryption settings for my existing buckets that already have default encryption configured? No. There are no changes to the default encryption configuration for an existing bucket that already has SSE-S3 or server-side encryption with AWS Key Management Service (AWS KMS) keys (SSE-KMS) configured. For more information about SSE-S3 and SSE-KMS encryption settings, see Protecting data with server-side encryption. Is default encryption enabled on my existing buckets that don't have default encryption configured? Yes. Amazon S3 now configures default encryption on all existing unencrypted buckets to apply server-side encryption with S3 managed keys (SSE-S3) as the base level of encryption for new objects uploaded to these buckets. Objects that are already in an existing unencrypted bucket won't be automatically encrypted.","Setting default server-side encryption behavior for Amazon S3 buckets","",""
"Monitoring data security with managed AWS security services","How can I view the default encryption status of new object uploads?","Currently, you can view the default encryption status of new object uploads in AWS CloudTrail logs, S3 Inventory, and S3 Storage Lens, the Amazon S3 console, and as an additional Amazon S3 API response header in the AWS Command Line Interface (AWS CLI) and the AWS SDKs. To view your CloudTrail events, see Viewing CloudTrail events in the CloudTrail console in the AWS CloudTrail User Guide. CloudTrail logs provide API tracking for PUT and POST requests to Amazon S3. When default encryption is being used to encrypt objects in your buckets, the CloudTrail logs for PUT and POST API requests will include the following field as the name-value pair: ""SSEApplied"":""Default_SSE_S3"". To view the automatic encryption status of new object uploads in S3 Inventory, configure an S3 Inventory report to include the Encryption metadata field, and then see the encryption status of each new object in the report. To view the automatic encryption status for new object uploads in S3 Storage Lens, configure an S3 Storage Lens dashboard and see the Encrypted bytes and Encrypted object count metrics in the Data protection category of the dashboard. For more information, see Using the S3 console and Viewing S3 Storage Lens metrics on the dashboards. To view the automatic bucket-level encryption status in the Amazon S3 console, check the Default encryption of your Amazon S3 buckets in the Amazon S3 console. For more information, see Configuring default encryption. To view the automatic encryption status as an additional Amazon S3 API response header in the AWS Command Line Interface (AWS CLI) and the AWS SDKs, check the response header x-amz- server-side-encryption when you use object action APIs, such as PutObject and GetObject.","Setting up Amazon S3 Inventory","",""
"Monitoring data security with managed AWS security services","What do I have to do to take advantage of this change?","You are not required to make any changes to your existing applications. Because default encryption is enabled for all of your buckets, all new objects uploaded to Amazon S3 are automatically encrypted.","","",""
"Monitoring data security with managed AWS security services","Can I disable encryption for the new objects being written to my bucket?","No. SSE-S3 is the new base level of encryption that's applied to all the new objects being uploaded to your bucket. You can no longer disable encryption for new object uploads.","","",""
"Monitoring data security with managed AWS security services","Will my charges be affected?","No. Default encryption with SSE-S3 is available at no additional cost. You will be billed for storage, requests, and other S3 features, as usual. For pricing, see Amazon S3 pricing.","","",""
"Monitoring data security with managed AWS security services","Will Amazon S3 encrypt my existing objects that are unencrypted?","No. Beginning on January 5, 2023, Amazon S3 only automatically encrypts new object uploads. To encrypt existing objects, you can use S3 Batch Operations to create encrypted copies of your objects. These encrypted copies will retain the existing object data and name and will be encrypted by using the encryption keys that you specify. For more details, see Encrypting objects with Amazon S3 Batch Operations in the AWS Storage Blog. I did not enable encryption for my buckets before this release. Do I need to change the way that I access objects? No. Default encryption with SSE-S3 automatically encrypts your data as it's written to Amazon S3 and decrypts it for you when you access it. There is no change in the way that you access objects that are automatically encrypted.","","",""
"Monitoring data security with managed AWS security services","Do I need to change the way that I access my client-side encrypted objects?","No. All client-side encrypted objects that are encrypted before being uploaded into Amazon S3 arrive as encrypted ciphertext objects within Amazon S3. These objects will now have an additional layer of SSE-S3 encryption. Your workloads that use client-side encrypted objects will not require any changes to your client services or authorization settings. Note HashiCorp Terraform users that aren't using an updated version of the AWS Provider might see an unexpected drift after creating new S3 buckets with no customer defined encryption configuration. To avoid this drift, update your Terraform AWS Provider version to one of the following versions: any 4.x release, 3.76.1, or 2.70.4.","","",""
"Monitoring data security with managed AWS security services","Updating server-side encryption for existing data","All Amazon S3 buckets have encryption configured by default, and objects are automatically encrypted by using server-side encryption with Amazon S3 managed keys (SSE-S3). This default encryption setting applies to all new objects in your Amazon S3 buckets. Using the UpdateObjectEncryption API operation, you can atomically update the server-side encryption type of an existing encrypted object in a general purpose bucket from server-side encryption with Amazon S3 managed encryption (SSE-S3) to server-side encryption with AWS Key Management Service (AWS KMS) encryption keys (SSE-KMS). The UpdateObjectEncryption API operation uses envelope encryption to re-encrypt the data key used to encrypt and decrypt your object with your newly specified server-side encryption type. Amazon S3 performs this encryption type update without any data movement. In other words, when you use the UpdateObjectEncryption operation, your data isn't copied, archived objects in the S3 Glacier Flexible Retrieval or S3 Glacier Deep Archive aren't restored, and objects in the S3 Intelligent-Tiering storage class aren't moved between tiers. Additionally, the UpdateObjectEncryption operation preserves all object metadata properties, including the storage class, creation date, last modified date, ETag, and checksum properties. The UpdateObjectEncryption operation is supported for all S3 storage classes that are supported by general purpose buckets. You can use the UpdateObjectEncryption operation to do the following: Change encrypted objects from server-side encryption with Amazon S3 managed encryption (SSE-S3) to server-side encryption with AWS Key Management Service (AWS KMS) encryption keys (SSE-KMS). Update object-level SSE-KMS encrypted objects to use S3 Bucket Keys, which decreases the AWS KMS request traffic from Amazon S3 to AWS KMS. Change the customer-managed KMS key that's used to encrypt your data so that you can comply with custom key-rotation standards.","the section called ""Using Amazon S3 Bucket Keys""","",""
"Monitoring data security with managed AWS security services","Note","Source objects that are unencrypted, or encrypted with either dual-layer server-side encryption with AWS KMS keys (DSSE-KMS) or customer-provided encryption keys (SSE-C) aren't supported by this operation. The UpdateObjectEncryption operation is typically completed in milliseconds regardless of the size of the object or the storage class, including S3 Glacier Flexible Retrieval or S3 Glacier Deep Archive. This operation doesn't count as an access for S3 Intelligent-Tiering, so objects in the Infrequent Access tier or the Archive Instant Access tier won't automatically tier back to the Frequent Access tier if you change the server-side encryption type of your object. UpdateObjectEncryption is an object-level (data plane) API operation that's logged to Amazon S3 server access logs and AWS CloudTrail data events. The UpdateObjectEncryption operation is priced the same as PUT, COPY, POST, and LIST requests (per 1,000 requests) and is always charged as an S3 Standard storage class request regardless of the underlying object's storage class. For more information, see Amazon S3 pricing.","the section called ""Logging options""","",""
"Monitoring data security with managed AWS security services","Restrictions and considerations","When using the UpdateObjectEncryption operation, the following restrictions and considerations apply: The UpdateObjectEncryption operation doesn't support objects that are unencrypted or objects that are encrypted with either dual-layer server-side encryption with AWS KMS keys (DSSE-KMS) or customer-provided encryption keys (SSE-C). Additionally, you cannot specify SSE- S3 as the requested new encryption type UpdateObjectEncryption request. You can use the UpdateObjectEncryption operation to update objects in buckets that have S3 Versioning enabled. To update the encryption type of a particular version, you must specify a version ID in your UpdateObjectEncryption request. If you don't specify version ID, the UpdateObjectEncryption request acts on the current version of the object. The UpdateObjectEncryption operation fails on any object that has an S3 Object Lock retention mode or legal hold applied to it. If an object has a governance-mode retention period or a legal hold, you must first remove the Object Lock status on the object before you issue your UpdateObjectEncryption request. You can't use the UpdateObjectEncryption operation with objects that have an Object Lock compliance mode retention period applied to them. For more information about S3 Object Lock, see the section called ""Locking objects"". UpdateObjectEncryption requests on source buckets with live replication enabled won't initiate replica events in the destination bucket. If you want to change the encryption type of objects in both your source and destination buckets, you must initiate separate UpdateObjectEncryption requests on the objects in the source and destination buckets. By default, all UpdateObjectEncryption requests that specify a customer-managed KMS key are restricted to KMS keys that are owned by the bucket owner's AWS account. If you're using AWS Organizations, you can request the ability to use AWS KMS keys owned by other member accounts within your organization by contacting AWS Support. If you use S3 Batch Replication to replicate datasets cross region and your objects previously had their server-side encryption type updated from SSE-S3 to SSE-KMS, you might need additional permissions. On the source region bucket, you must have kms:decrypt permissions. Then, you will need the kms:decrypt and kms:encrypt permissions for the bucket in the destination region. You must provide a full KMS key ARN in your UpdateObjectEncryption request. You can't use an alias name or alias ARN. You can determine the full KMS Key ARN in the AWS KMS Console or using the AWS KMS DescribeKey API.","the section called ""Retaining multiple versions of objects""","",""
"Monitoring data security with managed AWS security services","Required permissions","To perform the UpdateObjectEncryption operation, you must have the following permissions: s3:UpdateObjectEncryption kms:Encrypt kms:Decrypt kms:GenerateDataKey kms:ReEncrypt* If you're using AWS Organizations, to use this operation with customer-managed KMS keys from other AWS accounts within your organization, you must have the organizations:DescribeAccount permission. You must also request the ability to use AWS KMS keys owned by other member accounts within your organization by contacting AWS Support. To perform the UpdateObjectEncryption operation, add the following AWS Identity and Access Management (IAM) policy to your IAM role. To use this policy, replace amzn-s3-demo- bucket with the name of your general purpose bucket, and replace the other user input placeholders with your own information. { ""Version"": ""2012-10-17"", ""Statement"": [{ ""Sid"": ""AllowUpdateObjectEncryption"", ""Effect"": ""Allow"", ""Action"": [ ""s3:UpdateObjectEncryption"", ""kms:Encrypt"", ""kms:Decrypt"", ""kms:GenerateDataKey"", ""kms:ReEncrypt*"", ""organizations:DescribeAccount"" ], ""Resource"": [ ""arn:aws:s3:::amzn-s3-demo-bucket"", ""arn:aws:s3:::amzn-s3-demo-bucket/*"", ""arn:aws:kms:us-east-1:111122223333:key/01234567-89ab- cdef-0123-456789abcdef"" ] } ] }","","",""
"Monitoring data security with managed AWS security services","Updating encryption in bulk","To update the server-side encryption type of more than one Amazon S3 object with a single request, you can use S3 Batch Operations. You can provide S3 Batch Operations with a list of objects to operate on, or you can direct Batch Operations to generate an object list based object metadata, including prefix, storage class, creation date, encryption type, KMS key ARN, or S3 Bucket Key status. S3 Batch Operations calls the respective API operation to perform the specified operation. A single Batch Operations job can perform the specified operation on billions of objects within a bucket containing petabytes of data. The S3 Batch Operations feature tracks progress, sends notifications, and stores a detailed completion report of all actions, providing a fully managed, auditable, serverless experience. You can use S3 Batch Operations through the Amazon S3 console, AWS Command Line Interface (AWS CLI) AWS SDKs, or the Amazon S3 REST API. For more information, see the section called ""Update object encryption"".","the section called ""Performing object operations in bulk""","",""
"Monitoring data security with managed AWS security services","Updating encryption for objects","You can update the server-side encryption type for an object through the AWS Command Line Interface (AWS CLI) AWS SDKs, or the Amazon S3 REST API.","","",""
"Monitoring data security with managed AWS security services","Update encryption for an object","","","",""
"Monitoring data security with managed AWS security services","Using the AWS CLI","To run the following commands, you must have the AWS CLI installed and configured. If you don't have the AWS CLI installed, see Install or update to the latest version of the AWS CLI in the AWS Command Line Interface User Guide. Alternatively, you can run AWS CLI commands from the console by using AWS CloudShell. AWS CloudShell is a browser-based, pre-authenticated shell that you can launch directly from the AWS Management Console.","What is CloudShell? and Getting started with AWS CloudShell in the AWS CloudShell User Guide","",""
