"Group","Item","Page","Guidance","Done","Notes"
"Security Management Using Prism Central > Roles Management","Creating a Custom Role","34","In addition to built-in roles, you can also create a custom role in Prism Central. ¶ About this task To create the custom role in Prism Central, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ 4. Click Create Role > New Role. ¶ 5. In the Role Name field, enter a unique name for the role. ¶ Note: You must enter a unique name for the custom role. Built-in role names are not allowed. For more information, see Built-in Roles List on page 32. ¶ 6. (Optional) In the Description field, enter a description for the role. ¶ 7. Do one of the following: ¶ To filter all the operations available for a specific resource type, select the Entity Type from the dropdown list and in the search box enter the name of the resource. For example, when you select the Entity Type and enter vm-vm anti-affinity policy in the search box, the search result displays all the operations related to vm-vm anti-affinity policy resource. ¶ To filter the individual operations available for a specific resource type, select the Operation from the drop down list and in the search box enter the name of the resource. For example, when you select the Operation and enter anti affinity in the search box, the search result displays the individual operations that are performed on a vm-vm anti-affinity policy resource. ¶ 8. Click the plus icon for adding an individual operation or a group of operations to the role. ¶ 9. (Optional) To view the related operations, click the ¶ related operations icon. ¶ 10. Select the recommended related operations and click Add. Note: Nutanix recommends that you select all the related operations to ensure that the role is granted with sufficient permissions within the authorization policy. ¶ 11. Do one of the following: » To create the role, click Save. » To create the role and attach the authorization policy, click Save & Create Authorization Policy. The system redirects to the Create New Authorization Policy page. For more information, see Creating an Authorization Policy for Full Access on page 53.","",""
"Security Management Using Prism Central > Roles Management","Creating a Custom Role from an Existing Role","36","You can use an existing built-in or custom role as a starting point when you create a custom role. Before you begin Before you create the custom role from an existing role, consider the following points: Any system operations in the existing role are not added to the new role that you create. Some operations are pre-selected if you are creating a role from an existing role. About this task To create the custom role from an existing role, follow these steps: Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ 4. Click Create Role > From Existing Role. ¶ Note: The new role does not include system operations from the existing role. ¶ 5. In the Search roles box, type the built-in or custom role name and select the role from the search result. The system displays the list of operations associated with the selected role. ¶ 6. Click Next. ¶ 7. On the System Operations window, click Continue. ¶ 8. In the Role Name field, enter a unique name for the role. ¶ Note: You must enter a unique name for the custom role. Built-in role names are not allowed. For more information, see Built-in Roles List on page 32. ¶ 9. (Optional) In the Description field, enter a description for the role. ¶ 10. Do one of the following: To filter all the operations available for a specific resource type, select the Entity Type from the dropdown list and in the search box enter the name of the resource. For example, when you select the Entity Type and enter vm-vm anti-affinity policy in the search box, the search result displays all the operations related to vm-vm anti-affinity policy resource. To filter the individual operations available for a specific resource type, select the Operation from the drop down list and in the search box enter the name of the resource. For example, when you select the Operation and enter anti affinity in the search box, the search result displays the individual operations that are performed on a vm-vm anti-affinity policy resource. ¶ 11. Click the plus icon to add an individual operation or a group of operations to the role. ¶ 12. (Optional) To view the related operations, click the ¶ related operations icon. ¶ 13. Select the recommended related operations and click Add. ¶ Note: Nutanix recommends that you select all the related operations to ensure that the role is granted with sufficient permissions within the authorization policy. ¶ 14. Do one of the following: ¶ » To create the role, click Save. » To create the role and attach the authorization policy, click Save & Create Authorization Policy. ¶ The system redirects to the Create New Authorization Policy page. For more information, see Creating an Authorization Policy for Full Access on page 53.","",""
"Security Management Using Prism Central > Roles Management","Adding an Authorization Policy to a Role","38","The Roles tab provides an option to associate the authorization policy to both built-in and custom roles. ¶ About this task To add an authorization policy to a role, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ 4. Select the checkbox associated with the role. ¶ 5. Select Actions > Add Authorization Policy. ¶ 6. Configure the authorization policy fields as needed. ¶ For more information on how to configure an authorization policy, see Creating an Authorization Policy for Full Access on page 53.","",""
"Security Management Using Prism Central > Roles Management","Duplicating a Built-in Role","38","You can duplicate a built-in role. ¶ Before you begin When you duplicate a built-in role, Prism Central displays a message indicating that it cannot duplicate internal operations. Prism Central excludes the internal operations from duplication to prevent misconfiguration or unintended behavior because these internal operations are tightly coupled with system- level logic and are subject to change. As a result, the duplicated role might include fewer operations and not provide access to specific features. Nutanix recommends that you verify the duplicated role's permissions before assigning it to users. ¶ About this task To duplicate a built-in role, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ 4. Select the checkbox associated with the built-in role. ¶ 5. Select Actions > Duplicate. ¶ 6. Click Continue. ¶ 7. Edit the fields in the Duplicate Role window. ¶ 8. Do one of the following: ¶ » To save the role, click Save. » To save the role and attach the authorization policy, click Save & Create Authorization Policy. ¶ The system redirects to the Create New Authorization Policy page. For more information, see Creating an Authorization Policy for Full Access on page 53.","",""
"Security Management Using Prism Central > Roles Management","Duplicating a Custom Role","39","You can duplicate a custom role. ¶ About this task To duplicate a custom role, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ 4. Select the checkbox associated with the custom role. ¶ 5. Select Actions > Duplicate. ¶ 6. Edit the fields in the Duplicate Role window. ¶ 7. Do one of the following: ¶ » To save the role, click Save. » To save the role and attach the authorization policy, click Save & Create Authorization Policy. ¶ The system redirects to the Create New Authorization Policy page. For more information, see Creating an Authorization Policy for Full Access on page 53.","",""
"Security Management Using Prism Central > Roles Management","Deleting a Role","39","You can delete a custom role in Prism Central. ¶ About this task To delete the custom role, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ 4. Select the checkbox associated with the role. ¶ 5. Select Actions > Delete. ¶ 6. On the Delete Role window, click Delete.","",""
"Security Management Using Prism Central > Roles Management","Updating a Custom Role","40","You can update a custom role in Prism Central. ¶ About this task To update the custom role, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ 4. Select the checkbox associated with the role. ¶ 5. Select Actions > Update. ¶ 6. Update the fields in the Update Role window as needed and click Update.","",""
"Security Management Using Prism Central > Roles Management","Viewing Role Permissions","40","You can view the permissions associated with both built-in and custom roles. ¶ About this task To view the permissions associated with a role, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ 4. Select the checkbox associated with the role. ¶ The system displays all the permissions associated with the role.","",""
"Security Management Using Prism Central > Roles Management","Cluster or Category Independent Entities","40","The following list identifies the entities within Prism Central that do not support cluster or category-based scoping: ¶ License Configuration Cost Governance Registration Platform Dependent Field ¶ Prism Central XFit Policy Cluster Metrics Authorization Policy Directory Server Config Security Monitoring Network Security Rule Sync Policy Category Mapping Network Function Chain Identity Categorization Config Flow Upgrade OIDC Client Stats Simulation Secure Snapshot Approval Policy Stig Report Summary Stig Control Vulnerability Hardening Visibility Setting NC2 AWS VPC Network Controller Configuration NC2 AWS Subnet List Capability NC2 AWS Subnet Certificate Authentication Provider Role Entity Config Changeset Operation Client Service Account Alerts Policy Audit ¶ System Defined Alert Policy Event User Defined Alert Policy Alert Email Config Alert ¶ Important: To configure authorization policy for these entities, you must explicitly allow access in the authorization policy configuration. For more information, see Entities limitation in Authorization Policy.","",""
"Security Management Using Prism Central > Roles Management","Changes to Registered Operations and Custom Role Migration in Prism Central pc.7.3","42","Prism Central version pc.7.3 includes changes to several IAM operations. The IAM operations are renamed, split into multiple operations, or consolidated to improve RBAC precision. For more information, see Operations Changes in Prism Central pc.7.3 on page 43. These changes to operations might affect any custom roles that reference older versions of these operations. To ensure custom roles remain valid after the upgrade, IAM automatically updates roles where a direct mapping is possible. However, you must manually migrate any custom roles that cannot be updated automatically. For more information, see Migrating Custom Roles after Prism Central version pc.7.3 Upgrade on page 42. ¶ Migrating Custom Roles after Prism Central version pc.7.3 Upgrade After upgrading to Prism Central version pc.7.3, some custom roles must be manually migrated to align with the changed operations in pc.7.3. ¶ Before you begin Ensure that you have one of the following built-in roles assigned to perform custom role migration. ¶ Super Admin Prism Admin Project Manager ¶ About this task To migrate custom roles containing outdated operations, do the following: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Roles tab. ¶ If there are roles that reference outdated operations, a banner containing the following message appears at the top of the page: X custom roles in your system contain outdated operations and might not function as expected. To ensure full functionality, migrate your roles now. ¶ 4. In the banner, click the migrate your roles now link. ¶ What to do next After migration, validate the role permissions to ensure they meet your access requirements. ¶ Operations Changes in Prism Central pc.7.3 Updated IAM operations in Prism Central version pc.7.3. ¶ The following table lists the updated IAM operations in Prism Central pc.7.3, along with their corresponding renamed, consolidated, or expanded forms. ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded IAM Consolidated View User Key IAM View Service Account Delete User Key Api Key View User IAM Buckets Access Key IAM View Service Account IAM Access Key Delete User Buckets IAM Delete User Buckets Access Key Delete IAM Access Key Service Account Api Key IAM Create User Buckets IAM Access Key View Nutanix Access IAM Create User Group Key IAM Delete User Group IAM Update Operation Delete Buckets Access Revoke Service Account Key IAM Api Key IAM Update Authorization Add Buckets Access Key IAM Policy IAM Delete Authorization Add User Group IAM Policy Remove User Group IAM Revoke User Key Update Permission IAM Revoke Nutanix Api Key Change User State Delete Saml Identity Update ACP Provider View Saml Identity Delete ACP Provider View Operation Revoke User Buckets Create Saml Identity Access Key Revoke Provider Service Account Api Key Create Service Account Create Directory Service Enable User ¶ Delete SAML IdP Delete Identity Provider ¶ View Identity Provider View SAML IdP ¶ View Permission ¶ Create Identity Provider Create SAML IdP ¶ Add Service Account ¶ Configure Directory Service ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded IAM Consolidated IAM IAM View Client View Service Client IAM IAM Create Service Account Add Nutanix Api Key IAM Api Key IAM IAM Create User Add User IAM IAM Create Service Account Add Nutanix Access Key IAM Access Key IAM IAM View Service Account View Nutanix Api Key IAM Api Key IAM IAM Delete Directory Service Delete Directory Service IAM Configuration ¶ Files Create Authorization Create ACP Cluster Management Policy Cluster Management Cluster Management Delete Service Account Delete Nutanix Access Cluster Management Access Key Key Cluster Management Delete Service Account Delete Nutanix Api Key Api Key ¶ Update Saml Identity Update Identity Provider Provider Update SAML IdP ¶ Delete Operation Delete Permission ¶ Reset User Password Reset Password ¶ Create Operation Create Permission ¶ View User Buckets View Buckets Access Access Key Key ¶ Delete User Remove User ¶ View Authorization Policy View ACP ¶ Create User Key Create Service Account Api Key Create User Buckets Access Key ¶ View File Server View File Server Data Protected Pairs Protected Pairs ¶ View Cluster Credentials View Config Credentials ¶ View Storage Container View Container Stats ¶ Stats View Container Stats ¶ Create Storage Create Container Create Container Container ¶ Delete Storage Delete Container Delete Container Container ¶ View Storage Container View Container View Container ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Cluster Management Consolidated Cluster Management View Volume Group Cluster Management Unmount Storage Unmount Container Cluster Management Container Datastore Datastore Unmount View Volume Group Volumes Container Datastore Update Volume Group Volumes Virtual Disks Update Volumes Mount Storage Container Mount Container Volume Group Volumes Update Volume Group Volumes Datastore Datastore Mount Virtual Disks Update Volumes Volume Group Volumes Container Datastore Update Volume Group Volumes Update Connections with Volumes Update Storage Update Container External iSCSI Clients Volumes Container Update Container Update Volume Group Volumes Update Connections with Volumes View Storage Container View Container External iSCSI Clients Volumes Datastore Datastore View Update Volume Group Container Datastore View Volume Group ¶ View Volume Group Update Connections with iSCSI Attachments External iSCSI Clients Internal Update Volume Group Update Volume Group View Volume Group Virtual Disks Update Category Associations Volume Group View Volume Group Update Volume Group View Volume Group Disk ¶ Update Volume Group Disk Internal ¶ Update Volume Group Update Volume Group Details Internal Details ¶ Detach Volume Group From External iSCSI Client Internal ¶ Attach Volume Group To External iSCSI Client ¶ View Volume Group Update External iSCSI Details Client ¶ Update External iSCSI Client Internal ¶ Detach Volume Group From External iSCSI Client ¶ Create Volume Group Disk ¶ View Volume Group Metadata ¶ View Volume Group Disk Stats ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Volumes Consolidated Volumes View Volume Group Volumes View Volume Group Volumes Stats Update Volume Group Volumes Categories Update Volumes Associate Volume Group Volume Group Volumes Categories View Volume Group Volumes Volumes View Volume Group View Volume Group Volumes Disks Volumes Update Volume Group Networking View Volume Group VM Update Connections with Attachments Direct-attach AHV VMs Networking Update Volume Group Attach Volume Group To Categories Update Networking AHV VM Volume Group Update Connections with Disassociate Volume Direct-attach AHV VMs Group Categories Update Volume Group Update Volume Group Detach Volume Group Virtual Disks Update From AHV VM Volume Group View Volume Group Delete Volume Group Disk View Volume Group ¶ View Volume Group Update Connections with Metadata Internal Direct-attach AHV VMs Update Volume Group View Volume Group iSCSI Attachments ¶ Detach Volume Group From AHV VM Internal ¶ Delete Subnet Delete Overlay Subnet Unreserve Subnet Ip Delete Overlay External View VPC Subnet Delete External Subnet Delete Overlay Subnet Delete Overlay External Subnet Delete External Subnet ¶ Unreserve Vlan Subnet Ip Unreserve Overlay Subnet Ip Unreserve Vlan Subnet Ip Unreserve Overlay Subnet Ip ¶ View Virtual Network View Transit VPC View Transit VPC ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Networking Consolidated ¶ Networking View Subnet View Overlay Subnet Networking View Overlay External Networking Subnet View External Networking Subnet View Overlay Networking Subnet View Overlay Networking External Subnet View External Subnet Networking Networking Migrate vNIC Migrate Overlay vNIC Networking Migrate Overlay vNIC ¶ Networking Update Network Update Vpn Gateway Networking Gateway ¶ Microsegmentation View Network Gateway View Vpn Gateway Microsegmentation Update VPC Update Transit VPC Update Virtual Network Update Transit VPC ¶ Delete VPC Delete Virtual Network Delete Transit VPC Delete Transit VPC ¶ Update Subnet Update Overlay Subnet Update Overlay External Subnet Update External Subnet Update Overlay Subnet Update Overlay External Subnet Update External Subnet ¶ Create Network Gateway Create Vpn Gateway ¶ Create VPC Create Virtual Network Create Transit VPC Create Transit VPC ¶ Reserve Subnet Ip Reserve Overlay Subnet Ip Reserve Vlan Subnet Ip Reserve Overlay Subnet Ip Reserve Vlan Subnet Ip ¶ Delete Network Gateway Delete Vpn Gateway ¶ Create Subnet Create Overlay External Subnet Create External Subnet Create Overlay Subnet Create Overlay External Subnet Create External Subnet Create Overlay Subnet ¶ View Directory Server View Directory Server Config ¶ Update Directory Server Update Directory Server Config ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Consolidated Microsegmentation Policy Preview Flow Preview Migration Flow Update Virtual Machine Upgrade Migrator Power State Update Microsegmentation Upgrade Config Flow Migrate Config Flow Virtual Machine Allow Upgrade Migrator Virtual Machine Power Microsegmentation Summarise Flow Summarise Migration On Upgrade Flow Migrator Update Virtual Machine Microsegmentation Delete Directory Server Delete Directory Server NIC List Update Virtual Config Machine Microsegmentation Create Directory Server Create Directory Server Update Virtual Machine Config Update Virtual Machine Prism View Category View Name Category Disk List View Value Category View Virtual Machine Prism Delete Category Delete Name Category Delete Value Category Allow Virtual Machine Prism View Domain Manager View Prism Central Power Off Update Virtual Virtual Machine Power On Virtual Machine Power State Management Machine Update Virtual Machine Update Virtual Machine Virtual Machine Create Virtual Machine Allow Virtual Machine Management NIC Power Off Update Virtual Machine Power State Virtual Machine Delete Virtual Machine Update Virtual Machine Management CD ROM NIC List Update Virtual Machine Virtual Machine View Virtual Machine Update Virtual Machine Management Disk Update Virtual Machine Virtual Machine ACPI Shutdown Virtual Disk List Management Machine ¶ Virtual Machine Power Off Virtual Management Machine ¶ Virtual Machine Migrate Virtual Machine Management NIC ¶ Virtual Machine Create Virtual Machine Management Disk ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Consolidated Virtual Machine Guest Reboot Virtual Allow Virtual Machine Management Machine Reboot Update Virtual Machine Power State Virtual Machine Associate Virtual Update Virtual Machine Management Machine Categories Update Virtual Machine Virtual Machine Update Virtual Machine Categories Update Management NIC Virtual Machine ¶ Virtual Machine Create Virtual Machine Update Virtual Machine Management GPU NIC List Update Virtual Machine Virtual Machine Create Virtual Machine Management Serial Port Update Virtual Machine Virtual Machine Power Off ESXi Virtual GPU List Update Virtual Management Machine Machine Virtual Machine Insert Virtual Machine Management CD ROM Update Virtual Machine ¶ Virtual Machine View Existing Virtual Update ESX Virtual Management Machine Machine Virtual Machine Management View Virtual Machine Mount Virtual Machine Virtual Machine Disk Stats CDROM Update Virtual Management Machine Disk List Virtual Machine Migrate Virtual Machine Update Virtual Machine Management To Host View Virtual Machine Virtual Machine Migrate Virtual Machine Management Disk View Virtual Machine ¶ Virtual Machine Create Virtual Machine Update Virtual Machine Management CD ROM Virtual Machine Initiate Virtual Machine Management View Virtual Machine Disk Migration Update NIC Virtual Machine Disk List Virtual Machine Power Cycle Virtual Update Virtual Machine Management Machine Update Virtual Machine Eject Virtual Machine CD Disk List Update Virtual ROM Machine ¶ View Virtual Machine ¶ Allow Virtual Machine Reboot Update Virtual Machine Power State Update Virtual Machine ¶ Update Virtual Machine Unmount Virtual Machine CDROM Update Virtual Machine Disk List ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Consolidated Virtual Machine Update Virtual Machine Update Virtual Machine Management Disk Disk List Update Virtual Machine Virtual Machine Disassociate Virtual Update Virtual Machine Management Machine Categories Categories Update Virtual Machine Virtual Machine View VM Host Affinity View VM Host Affinity Management Policy VM Compliances Policy Virtual Machine Update Virtual Machine Management Insert Virtual Machine NGT Config Update NGT ISO Virtual Machine Virtual Machine View Virtual Machine Management View Virtual Machine CD Virtual Machine ROM Update ESX Virtual Management Machine Virtual Machine Reset ESXi Virtual Create Virtual Machine Management Machine Virtual Machine Allow Virtual Machine Management Create New Virtual Power Off Update Virtual Machine Machine Power State Virtual Machine Update Virtual Machine Management Guest Shutdown Virtual Delete Virtual Machine Virtual Machine Machine Management View Virtual Machine Virtual Machine Delete Existing Virtual Management Machine Allow Virtual Machine Reset Allow Virtual Virtual Machine View Virtual Machine Machine Reboot Update Management NIC Stats Virtual Machine Power Virtual Machine State Update Virtual Management Reset Virtual Machine Machine Virtual Machine Update ESX Virtual Management Guest Shutdown ESXi Machine Virtual Machine Virtual Machine Clone Virtual Machine Management Clone Existing Virtual View Virtual Machine Virtual Machine Machine Management Update Virtual Machine Virtual Machine View Virtual Machine NIC List Update Virtual Management Stats Machine Update ESX Virtual Delete Virtual Machine Machine NIC Update Virtual Machine Update Virtual Machine Guest Reboot ESXi GPU List Virtual Machine ¶ Delete Virtual Machine GPU ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Consolidated Virtual Machine Assign Virtual Machine Update Virtual Machine Management Owner Update Virtual Machine Owner Virtual Machine Update Virtual Machine Update Virtual Machine Management NGT NGT Config Update Virtual Machine Virtual Machine Delete Virtual Machine Update Virtual Machine Management Disk Update Virtual Machine Disk List Virtual Machine ACPI Reboot Virtual Allow Virtual Machine Management Machine Reboot Update Virtual Machine Power State Virtual Machine Suspend ESXi Virtual Update Virtual Machine Management Machine Update ESX Virtual Virtual Machine View Virtual Machine Machine Management Serial Port View Virtual Machine Virtual Machine Delete Virtual Machine Management Serial Port Update Virtual Machine Virtual Machine Power On ESXi Virtual Management Machine Update ESX Virtual Virtual Machine Update Virtual Machine Machine Management Serial Port Update Virtual Machine Virtual Machine Assign Virtual Machine Management NIC IP Update Virtual Machine NIC List Update Virtual Virtual Machine View Virtual Machine Machine Management GPU View Virtual Machine Virtual Machine Install Virtual Machine Management NGT Update Virtual Machine NGT Config Update Virtual Machine Upgrade Virtual Machine Virtual Machine Management NGT Update Virtual Machine NGT Config Update Virtual Machine Customise Virtual Virtual Machine Management Machine Guest Update Virtual Machine Virtual Machine Reenforce VM Host Management Affinity Policy Update VM Host Affinity Virtual Machine Update Virtual Machine Policy Management Basic Config Update Virtual Machine Virtual Machine View Virtual Machine Management NGT View Virtual Machine ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Consolidated ¶ Virtual Machine Uninstall Virtual Machine Update Virtual Machine Management NGT NGT Config Update Virtual Machine ¶ Virtual Machine View VM Host Affinity View VM Host Affinity Management Policy VM Compliance Policy View VM Host States Affinity Policy VM Compliances ¶ Virtual Machine Release Virtual Machine Update Virtual Machine Management NIC IP NIC List Update Virtual Machine ¶ Licensing View Licenses View License Metadata ¶ Licensing View License View License Entitlement Entitlements ¶ Operations Management Create Report Create Report Instance ¶ Operations Management Upload Report Artifact Create Global Report Setting ¶ Operations Management Delete Report Delete Report Instance ¶ Operations Management View Report Artifact File View Global Report Setting ¶ Operations Management Update Global Report Update Common Report Setting Config ¶ Operations Management View Report View Report Instance ¶ Operations Management Delete Global Report Delete Common Report Setting Config ¶ Operations Management Notify Recipients Report Notify Report Instance ¶ Operations Management Download Report View Report ¶ Operations Management Create Global Report Create Common Report Setting Config ¶ Operations Management View Global Report View Common Report Setting Config ¶ Monitoring View System Defined View Alerts Policy Alert Policy Cluster Configs ¶ Monitoring Delete User Defined Delete Alerts Policy Alert Policy ¶ Monitoring Create User Defined Create Alerts Policy Alert Policy ¶ Monitoring View User Defined Alert View Alerts Policy Policy ¶ Monitoring Update User Defined Update Alerts Policy Alert Policy ¶ Operation Category Existing Operation Operation Renamed/ Operations Expanded Consolidated Update Alerts Policy Monitoring View Alerts Policy Update System Defined Monitoring Alert Policy Cluster View Stats Configs View Stats Objects View System Defined View Stats Objects Alert Policy View Stats ¶ AIOps View Object Store Download Certificate AIOps Certificate Object Store AIOps AIOps Create Object Store Replace Certificates AIOps Certificate Object Store AIOps AIOps View Scenario View Whatif AIOps AIOps View Stats Sources ¶ AIOps View Stats Entities AIOps AIOps Share Scenario Share Whatif AIOps AIOps Update Scenario Update Whatif ¶ Update Ignore Window Update Blackout ¶ Calculate Ignore Runway Calculate Runway ¶ View Stats Entity Types ¶ View Stats Entity Descriptors ¶ Delete Scenario Delete Whatif ¶ View Ignore Window View Blackout ¶ Create Ignore Window Create Blackout ¶ Delete Ignore Window Delete Blackout ¶ Create Scenario Create Whatif","",""
"Security Management Using Prism Central > Authorization Policies","Creating an Authorization Policy for Full Access","53","Create an authorization policy with full access to all entity types and instances for the added users in the associated role. ¶ About this task To create an authorization policy, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Authorization Policies tab. ¶ 4. Click + Create Authorization Policy. ¶ 5. (Optional) To edit the name, click the pencil icon next to the default name, edit the name, and click the ¶ checkmark icon. ¶ 6. On the Select Role search box, enter the built-in or custom role's name and select the role from the list of ¶ suggestions. The system displays role details for the selected role. ¶ 7. Click Next. ¶ 8. Select Full Access: all entity type & instances. ¶ Note: After updating to pc.2024.1, when you create an Authorization Policy for the Prism Admin role, the LCM page sometimes stall with Waiting for LCM framework to start message. The workaround is to select the scope as Full access: all entity types & instances#Automatically grant access to new entity types that are added to this role in the future. ¶ 9. (Optional): To automatically gain access to any new entity types that are added to your selected role in the future, select the Automatically grant access to new entity types that are added to this role in the future checkbox. ¶ 10. Click Next. ¶ 11. From the Users dropdown list, select the user type. ¶ 12. On the Search box, enter the first few letters of the user or user group's name and select the correct user or user ¶ group from the list of suggestions. ¶ 13. Click Save.","",""
"Security Management Using Prism Central > Authorization Policies","Creating an Authorization Policy for Configurable Access","54","Create an authorization policy with configurable access to the selected entity types and instances for the added users in the associated role. ¶ About this task To create an authorization policy, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, select IAM. ¶ 3. Select the Authorization Policies tab. ¶ 4. Click + Create Authorization Policy. ¶ 5. (Optional) To edit the name, click the pencil icon next to the default name, edit the name, and click the checkmark icon. ¶ 6. On the Select Role search box, enter the built-in or custom role's name and select the role from the list of suggestions. The system displays role details for the selected role. ¶ 7. Click Next. ¶ 8. Select Configure access: select entity types & instances and follow these steps: ¶ a. From the Entity Type dropdown list, select the entity type. The list of available entities depends on the role that you select. ¶ b. From the Filters dropdown list, select the filter type. The list of available filter options depends on the Entity Type that you select. Starting with AOS 7.0 and pc.2024.3, the Filters dropdown list includes a new filter called Advanced for some of the entity types. The Advanced Filter creates a set of filters with the AND operator. You can repeat the Entity Type and Filter selections for any combination of entity and filter. Defining multiple entity-filter-search combinations by repeating the entity type and filter selection creates a set of filters with an OR operator. ¶ c. If you selected the Advanced filter, perform the following actions: ¶ From the Filters dropdown list, filter the entity type. On the Search box, select the entity. Click + Condition. From the Filters dropdown list, filter the entity type. On the Search box, select the entity. Click Add to Policy. d. On the Search box, enter the first few letters of the specific entities and select the correct entities from the list of suggestions. ¶ 9. (Optional) To allow the assigned users to access any new entity instances created by them, select the Allow users access to entities created by them checkbox. For example, if a user has permission to create a new VM, the user must also have access to the VM. ¶ 10. Click Next. ¶ 11. From the Users dropdown list, select the user type. ¶ 12. On the Search box, enter the first few letters of the user or user group's name and select the correct user or user group from the list of suggestions. ¶ 13. Click Save.","",""
"Security Management Using Prism Central > Authorization Policies","Editing an Authorization Policy","56","You can edit an authorization policy. About this task To edit an authorization policy, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Authorization Policies tab. ¶ 4. Select the checkbox associated with an authorization policy. ¶ 5. Select Actions > Edit. ¶ 6. In the Edit Authorization Policy window, edit the fields as needed and click Save.","",""
"Security Management Using Prism Central > Authorization Policies","Duplicating an Authorization Policy","56","You can create a copy of predefined or custom authorization policy. About this task To duplicate an authorization policy, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Authorization Policies tab. ¶ 4. Select the checkbox associated with an authorization policy. ¶ 5. Select Actions > Duplicate. ¶ 6. In the Duplicate Authorization Policy window, edit the fields as needed and click Save.","",""
"Security Management Using Prism Central > Authorization Policies","Deleting an Authorization Policy","56","You can delete an authorization policy. Before you begin Before you delete an authorization policy, consider the following points: ¶ You can not delete any predefined system authorization policies. Any users associated with the authorization policy lose their assigned access after you delete the authorization ¶ policy. ¶ About this task To delete an authorization policy, follow these steps: ¶ Procedure ¶ 1. Log in to Prism Central as an administrator. ¶ 2. From the Application Switcher Function, select the Admin Center application and from the navigation bar, ¶ select IAM. ¶ 3. Select the Authorization Policies tab. ¶ 4. Select the checkbox associated with an authorization policy. ¶ 5. Select Actions > Delete. ¶ 6. Click Delete.","",""
